Id,Account__c,Start_Date__c,End_Date__c,Product_Family__c,ARR__c,Prior_ARR__c,Status__c,Renewal_Outcome__c,Churn_Reason__c,Renewal_Opportunity__c
a00000000001598,001000000002055,2024-01-02,2025-01-13,Automation,14229,14229,Active,Renewed,,
a00000000001599,001000000002458,2024-01-02,2025-01-10,Core,19111,14516,Active,Renewed,,
a00000000001600,001000000003405,2024-01-02,2025-03-09,Automation,8512,8512,Active,Renewed,,
a00000000001601,001000000000979,2024-01-02,2025-03-19,Core,9208,9208,Active,Renewed,,
a00000000001602,001000000000741,2024-01-02,2025-03-20,Automation,12214,12214,Active,Renewed,,
a00000000001603,001000000002663,2024-01-02,2025-01-29,Analytics,10545,10545,Active,Renewed,,
a00000000001604,001000000002086,2024-01-02,2025-02-12,Platform,12804,12804,Active,Renewed,,
a00000000001605,001000000000740,2024-01-02,2025-03-21,Automation,12603,12603,Active,Renewed,,
a00000000001606,001000000002989,2024-01-02,2025-03-30,Automation,28210,14569,Active,Renewed,,
a00000000001607,001000000001395,2024-01-02,2025-02-13,Core,13925,13925,Active,Renewed,,
a00000000001608,001000000000430,2024-01-02,2025-01-07,Core,8103,8103,Active,Renewed,,
a00000000001609,001000000000784,2024-01-02,2025-03-07,Analytics,25318,15029,Active,Renewed,,
a00000000001610,001000000000638,2024-01-02,2025-01-27,Automation,8868,8868,Active,Renewed,,
a00000000001611,001000000004990,2024-01-02,2025-02-09,Automation,11639,11639,Active,Renewed,,
a00000000001612,001000000001516,2024-01-02,2025-01-22,Platform,16611,16611,Active,Renewed,,
a00000000001613,001000000004963,2024-01-02,2025-01-20,Platform,23543,10409,Active,Renewed,,
a00000000001614,001000000000316,2024-01-02,2025-03-01,Analytics,11101,11101,Active,Renewed,,
a00000000001615,001000000004606,2024-01-02,2025-02-20,Platform,21369,12205,Active,Renewed,,
a00000000001616,001000000002853,2024-01-02,2025-03-26,Analytics,16810,16810,Active,Renewed,,
a00000000001617,001000000000131,2024-01-02,2025-03-22,Platform,17226,17226,Active,Renewed,,
a00000000001618,001000000002565,2024-01-02,2025-02-03,Analytics,12196,12196,Active,Renewed,,
a00000000001619,001000000002409,2024-01-02,2025-01-27,Automation,13278,13278,Active,Renewed,,
a00000000001620,001000000001732,2024-01-02,2025-02-12,Analytics,11236,11236,Active,Renewed,,
a00000000001621,001000000004507,2024-01-02,2025-03-09,Core,13821,13821,Active,Renewed,,
a00000000001622,001000000004098,2024-01-02,2025-01-03,Analytics,12503,12503,Active,Renewed,,
a00000000001623,001000000004040,2024-01-02,2025-01-08,Analytics,24067,9013,Active,Renewed,,
a00000000001624,001000000000490,2024-01-02,2025-01-02,Automation,27358,14916,Active,Renewed,,
a00000000001625,001000000003072,2024-01-02,2025-03-30,Core,14374,14374,Active,Renewed,,
a00000000001626,001000000002358,2024-01-02,2025-03-16,Analytics,10230,10230,Active,Renewed,,
a00000000001627,001000000001192,2024-01-02,2025-03-31,Platform,12313,12313,Active,Renewed,,
a00000000001628,001000000004528,2024-01-02,2025-03-29,Automation,11257,11257,Active,Renewed,,
a00000000001629,001000000000581,2024-01-02,2025-02-12,Analytics,7892,7892,Active,Renewed,,
a00000000001630,001000000003682,2024-01-02,2025-03-16,Automation,11072,11072,Active,Renewed,,
a00000000001631,001000000001593,2024-01-02,2025-02-06,Automation,15825,17017,Active,Downgraded,,
a00000000001632,001000000000331,2024-01-02,2025-03-17,Core,23209,10400,Active,Renewed,,
a00000000001633,001000000002787,2024-01-02,2025-01-02,Automation,10020,10020,Active,Renewed,,
a00000000001634,001000000001536,2024-01-02,2025-03-24,Automation,12134,15692,Active,Downgraded,,
a00000000001635,001000000002384,2024-01-02,2025-02-24,Platform,14989,14989,Active,Renewed,,
a00000000001636,001000000002396,2024-01-02,2025-03-30,Analytics,12354,12354,Active,Renewed,,
a00000000001637,001000000001230,2024-01-02,2025-03-23,Automation,15565,15565,Active,Renewed,,
a00000000001638,001000000004928,2024-01-02,2025-01-16,Analytics,19548,8765,Active,Renewed,,
a00000000001639,001000000001061,2024-01-02,2025-02-06,Platform,8650,11837,Active,Downgraded,,
a00000000001640,001000000003602,2024-01-02,2025-02-18,Automation,12321,12321,Active,Renewed,,
a00000000001641,001000000000925,2024-01-02,2025-01-28,Core,14148,8710,Active,Renewed,,
a00000000001642,001000000000770,2024-01-02,2025-03-27,Automation,17101,13238,Active,Renewed,,
a00000000001643,001000000002904,2024-01-02,2025-02-08,Platform,14003,14003,Active,Renewed,,
a00000000001644,001000000004002,2024-01-02,2025-01-30,Analytics,20740,13593,Active,Renewed,,
a00000000001645,001000000001762,2024-01-02,2025-03-11,Core,15212,15212,Active,Renewed,,
a00000000001646,001000000002844,2024-01-02,2025-03-03,Platform,10259,10259,Active,Renewed,,
a00000000001647,001000000003078,2024-01-02,2025-01-21,Analytics,14771,14771,Active,Renewed,,
a00000000001648,001000000001843,2024-01-02,2025-01-07,Platform,16369,16369,Active,Renewed,,
a00000000001649,001000000003355,2024-01-02,2025-03-25,Core,12740,12740,Active,Renewed,,
a00000000001650,001000000000760,2024-01-02,2025-01-30,Automation,8301,8301,Active,Renewed,,
a00000000001651,001000000000148,2024-01-02,2025-01-13,Platform,11484,12467,Active,Downgraded,,
a00000000001652,001000000003374,2024-01-02,2025-01-25,Platform,13462,13462,Active,Renewed,,
a00000000001653,001000000004894,2024-01-02,2025-03-27,Analytics,12337,12337,Active,Renewed,,
a00000000001654,001000000004021,2024-01-02,2025-01-31,Analytics,13882,13882,Active,Renewed,,
a00000000001655,001000000003449,2024-01-02,2025-01-02,Analytics,12638,12638,Active,Renewed,,
a00000000001656,001000000004217,2024-01-02,2025-01-14,Analytics,12020,12020,Active,Renewed,,
a00000000001657,001000000004964,2024-01-02,2025-03-19,Automation,11645,11645,Active,Renewed,,
a00000000001658,001000000002759,2024-01-02,2025-03-01,Platform,6397,9797,Active,Downgraded,,
a00000000001659,001000000000788,2024-01-02,2025-03-15,Analytics,15584,8206,Active,Renewed,,
a00000000001660,001000000001217,2024-01-02,2025-02-21,Core,13184,13184,Active,Renewed,,
a00000000001661,001000000000471,2024-01-02,2025-02-28,Platform,8596,8596,Active,Renewed,,
a00000000001662,001000000001981,2024-01-02,2025-03-21,Core,15651,15651,Active,Renewed,,
a00000000001663,001000000003103,2024-01-02,2025-03-15,Analytics,24731,16319,Active,Renewed,,
a00000000001664,001000000000117,2024-01-02,2025-03-18,Analytics,27049,14646,Active,Renewed,,
a00000000001665,001000000000486,2024-01-02,2025-01-31,Automation,10205,11988,Active,Downgraded,,
a00000000001666,001000000002718,2024-01-02,2025-03-30,Analytics,5722,9559,Active,Downgraded,,
a00000000001667,001000000001936,2024-01-02,2025-03-31,Platform,14274,8496,Active,Renewed,,
a00000000001668,001000000002354,2024-01-02,2025-03-16,Analytics,27606,15162,Active,Renewed,,
a00000000001669,001000000000494,2024-01-02,2025-01-26,Analytics,12804,12804,Active,Renewed,,
a00000000001670,001000000003259,2024-01-02,2025-02-08,Platform,13476,13476,Active,Renewed,,
a00000000001671,001000000000432,2024-01-02,2025-01-18,Automation,11190,11190,Active,Renewed,,
a00000000001672,001000000000594,2024-01-02,2025-02-28,Platform,11654,11654,Active,Renewed,,
a00000000001673,001000000000578,2024-01-02,2025-03-10,Analytics,12589,13611,Active,Downgraded,,
a00000000001674,001000000004382,2024-01-02,2025-02-07,Analytics,11430,11430,Active,Renewed,,
a00000000001675,001000000000827,2024-01-02,2025-02-18,Core,18467,11799,Active,Renewed,,
a00000000001676,001000000003102,2024-01-02,2025-03-31,Core,10165,12386,Active,Downgraded,,
a00000000001677,001000000003549,2024-01-02,2025-03-07,Automation,24587,13716,Active,Renewed,,
a00000000001678,001000000004187,2024-01-02,2025-02-24,Core,12451,12451,Active,Renewed,,
a00000000001679,001000000000232,2024-01-02,2025-01-05,Analytics,24330,10974,Active,Renewed,,
a00000000001680,001000000003945,2024-01-02,2025-02-15,Automation,9635,9635,Active,Renewed,,
a00000000001681,001000000003512,2024-01-02,2025-02-16,Platform,12891,12891,Active,Renewed,,
a00000000001682,001000000000712,2024-01-02,2025-01-07,Platform,12749,16102,Active,Downgraded,,
a00000000001683,001000000004595,2024-01-02,2025-02-11,Analytics,13154,13154,Active,Renewed,,
a00000000001684,001000000004599,2024-01-02,2025-01-08,Platform,10439,10439,Active,Renewed,,
a00000000001685,001000000000172,2024-01-02,2025-01-10,Automation,29406,16357,Active,Renewed,,
a00000000001686,001000000003383,2024-01-02,2025-02-01,Core,15572,15572,Active,Renewed,,
a00000000001687,001000000001923,2024-01-02,2025-03-04,Core,11304,11304,Active,Renewed,,
a00000000001688,001000000004787,2024-01-02,2025-02-19,Automation,12344,7958,Active,Renewed,,
a00000000001689,001000000004609,2024-01-02,2025-03-13,Platform,14559,14559,Active,Renewed,,
a00000000001690,001000000000487,2024-01-02,2025-02-19,Analytics,10509,10509,Active,Renewed,,
a00000000001691,001000000000103,2024-01-02,2025-02-14,Platform,19608,9827,Active,Renewed,,
a00000000001692,001000000004333,2024-01-02,2025-02-23,Core,14774,14774,Active,Renewed,,
a00000000001693,001000000000028,2024-01-02,2025-02-24,Automation,12194,12194,Active,Renewed,,
a00000000001694,001000000004605,2024-01-02,2025-03-30,Automation,11942,15037,Active,Downgraded,,
a00000000001695,001000000003631,2024-01-02,2025-03-17,Platform,12634,15665,Active,Downgraded,,
a00000000001696,001000000003138,2024-01-02,2025-03-14,Automation,14216,14216,Active,Renewed,,
a00000000001697,001000000000738,2024-01-02,2025-01-09,Analytics,12184,15806,Active,Downgraded,,
a00000000001698,001000000004640,2024-01-02,2025-03-01,Core,13349,13349,Active,Renewed,,
a00000000001699,001000000001093,2024-01-02,2025-01-15,Core,9696,9696,Active,Renewed,,
a00000000001700,001000000001293,2024-01-02,2025-03-02,Platform,7772,7772,Active,Renewed,,
a00000000001701,001000000000422,2024-01-02,2025-02-05,Platform,18672,12960,Active,Renewed,,
a00000000001702,001000000001925,2024-01-02,2025-03-11,Core,12975,12975,Active,Renewed,,
a00000000001703,001000000002655,2024-01-02,2025-03-06,Platform,9679,9679,Active,Renewed,,
a00000000001704,001000000000439,2024-01-02,2025-03-24,Core,9469,9469,Active,Renewed,,
a00000000001705,001000000003295,2024-01-02,2025-03-09,Platform,11640,11640,Active,Renewed,,
a00000000001706,001000000000243,2024-01-02,2025-02-12,Platform,13549,13549,Active,Renewed,,
a00000000001707,001000000002125,2024-01-02,2025-02-16,Analytics,14798,14798,Active,Renewed,,
a00000000001708,001000000001884,2024-01-02,2025-01-06,Automation,9324,9324,Active,Renewed,,
a00000000001709,001000000003341,2024-01-02,2025-03-03,Automation,9949,9949,Active,Renewed,,
a00000000001710,001000000004935,2024-01-02,2025-02-04,Analytics,14571,14571,Active,Renewed,,
a00000000001711,001000000001716,2024-01-02,2025-03-06,Platform,11359,11359,Active,Renewed,,
a00000000001712,001000000003477,2024-01-02,2025-01-06,Analytics,26966,12224,Active,Renewed,,
a00000000001713,001000000000239,2024-01-02,2025-01-08,Automation,15447,15447,Active,Renewed,,
a00000000001714,001000000003815,2024-01-02,2025-02-21,Analytics,11728,11728,Active,Renewed,,
a00000000001715,001000000000931,2024-01-02,2025-03-29,Platform,7881,7881,Active,Renewed,,
a00000000001716,001000000001367,2024-01-02,2025-02-08,Automation,10518,10518,Active,Renewed,,
a00000000001717,001000000002720,2024-01-02,2025-01-22,Platform,16783,16783,Active,Renewed,,
a00000000001718,001000000002140,2024-01-02,2025-01-07,Automation,13925,13925,Active,Renewed,,
a00000000001719,001000000000539,2024-01-02,2025-01-11,Analytics,12730,12730,Active,Renewed,,
a00000000001720,001000000001618,2024-01-02,2025-01-24,Core,14806,16827,Active,Downgraded,,
a00000000001721,001000000002537,2024-01-02,2025-01-05,Analytics,14723,14723,Active,Renewed,,
a00000000001722,001000000004530,2024-01-02,2025-01-29,Analytics,20068,12775,Active,Renewed,,
a00000000001723,001000000000105,2024-01-02,2025-01-22,Analytics,13338,8773,Active,Renewed,,
a00000000001724,001000000001042,2024-01-02,2025-02-26,Analytics,13353,13353,Active,Renewed,,
a00000000001725,001000000000410,2024-01-02,2025-01-05,Platform,7841,7841,Active,Renewed,,
a00000000001726,001000000001691,2024-01-02,2025-02-12,Core,13694,13694,Active,Renewed,,
a00000000001727,001000000000156,2024-01-02,2025-02-02,Analytics,14465,14465,Active,Renewed,,
a00000000001728,001000000002850,2024-01-02,2025-01-14,Platform,13309,13309,Active,Renewed,,
a00000000001729,001000000001222,2024-01-02,2025-01-30,Core,8183,8183,Active,Renewed,,
a00000000001730,001000000004420,2024-01-02,2025-01-21,Analytics,9236,9236,Active,Renewed,,
a00000000001731,001000000001612,2024-01-02,2025-03-26,Automation,11087,11087,Active,Renewed,,
a00000000001732,001000000003740,2024-01-02,2025-02-25,Automation,17003,17003,Active,Renewed,,
a00000000001733,001000000000022,2024-01-02,2025-02-24,Analytics,14546,15571,Active,Downgraded,,
a00000000001734,001000000001737,2024-01-02,2025-01-30,Platform,17012,17012,Active,Renewed,,
a00000000001735,001000000004464,2024-01-02,2025-01-19,Automation,10903,10903,Active,Renewed,,
a00000000001736,001000000003487,2024-01-02,2025-03-25,Automation,11829,11829,Active,Renewed,,
a00000000001737,001000000000781,2024-01-02,2025-03-30,Automation,14958,14958,Active,Renewed,,
a00000000001738,001000000004009,2024-01-02,2025-02-20,Platform,9434,9434,Active,Renewed,,
a00000000001739,001000000000004,2024-01-02,2025-01-01,Automation,19318,15094,Active,Renewed,,
a00000000001740,001000000003042,2024-01-02,2025-01-22,Automation,15349,15349,Active,Renewed,,
a00000000001741,001000000002024,2024-01-02,2025-02-10,Platform,15164,15164,Active,Renewed,,
a00000000001742,001000000002006,2024-01-02,2025-03-18,Analytics,12112,12112,Active,Renewed,,
a00000000001743,001000000002879,2024-01-02,2025-03-14,Analytics,15881,15881,Active,Renewed,,
a00000000001744,001000000003377,2024-01-02,2025-02-09,Analytics,15334,15334,Active,Renewed,,
a00000000001745,001000000000878,2024-01-02,2025-02-10,Automation,4070,7821,Active,Downgraded,,
a00000000001746,001000000003923,2024-01-02,2025-03-10,Analytics,22762,16037,Active,Renewed,,
a00000000001747,001000000004120,2024-01-02,2025-02-15,Core,14110,14110,Active,Renewed,,
a00000000001748,001000000000290,2024-01-02,2025-03-17,Analytics,20573,12976,Active,Renewed,,
a00000000001749,001000000001703,2024-01-02,2025-02-26,Automation,9534,9534,Active,Renewed,,
a00000000001750,001000000001796,2024-01-02,2025-02-28,Analytics,15525,15525,Active,Renewed,,
a00000000001751,001000000000611,2024-01-02,2025-03-05,Platform,24903,15784,Active,Renewed,,
a00000000001752,001000000002873,2024-01-02,2025-03-08,Core,10962,10962,Active,Renewed,,
a00000000001753,001000000004264,2024-01-02,2025-03-15,Platform,8481,8481,Active,Renewed,,
a00000000001754,001000000002281,2024-01-02,2025-01-22,Core,9078,9078,Active,Renewed,,
a00000000001755,001000000002696,2024-01-02,2025-03-24,Automation,17397,17397,Active,Renewed,,
a00000000001756,001000000001267,2024-01-02,2025-02-16,Automation,11279,13852,Active,Downgraded,,
a00000000001757,001000000000445,2024-01-02,2025-03-26,Automation,20509,10349,Active,Renewed,,
a00000000001758,001000000004303,2024-01-02,2025-03-29,Platform,8516,11918,Active,Downgraded,,
a00000000001759,001000000002168,2024-01-02,2025-03-28,Automation,14732,14732,Active,Renewed,,
a00000000001760,001000000000374,2024-01-02,2025-02-13,Analytics,12966,12966,Active,Renewed,,
a00000000001761,001000000000567,2024-01-02,2025-03-29,Analytics,12029,12029,Active,Renewed,,
a00000000001762,001000000004323,2024-01-02,2025-01-05,Platform,9448,9448,Active,Renewed,,
a00000000001763,001000000002121,2024-01-02,2025-01-09,Core,13604,13604,Active,Renewed,,
a00000000001764,001000000001583,2024-01-02,2025-01-25,Analytics,7258,11128,Active,Downgraded,,
a00000000001765,001000000003843,2024-01-02,2025-02-23,Core,9799,9799,Active,Renewed,,
a00000000001766,001000000001430,2024-01-02,2025-01-06,Analytics,12407,14994,Active,Downgraded,,
a00000000001767,001000000004389,2024-01-02,2025-01-21,Analytics,22578,14829,Active,Renewed,,
a00000000001768,001000000002177,2024-01-02,2025-01-15,Analytics,15081,15081,Active,Renewed,,
a00000000001769,001000000000132,2024-01-02,2025-01-19,Automation,17394,17394,Active,Renewed,,
a00000000001770,001000000002503,2024-01-02,2025-02-18,Analytics,11103,11103,Active,Renewed,,
a00000000001771,001000000000356,2024-01-02,2025-03-07,Core,16086,11733,Active,Renewed,,
a00000000001772,001000000002036,2024-01-02,2025-01-30,Platform,9342,9342,Active,Renewed,,
a00000000001773,001000000002498,2024-01-02,2025-03-29,Analytics,15202,15202,Active,Renewed,,
a00000000001774,001000000000745,2024-01-02,2025-03-21,Platform,16857,16857,Active,Renewed,,
a00000000001775,001000000001353,2024-01-02,2025-02-26,Platform,8130,8130,Active,Renewed,,
a00000000001776,001000000001819,2024-01-02,2025-03-15,Analytics,16314,17313,Active,Downgraded,,
a00000000001777,001000000001483,2024-01-02,2025-01-25,Automation,12893,12893,Active,Renewed,,
a00000000001778,001000000000577,2024-01-02,2025-02-02,Analytics,17318,17318,Active,Renewed,,
a00000000001779,001000000000793,2024-01-02,2025-02-12,Core,19330,11307,Active,Renewed,,
a00000000001780,001000000001334,2024-01-02,2025-02-01,Analytics,6196,8134,Active,Downgraded,,
a00000000001781,001000000001061,2024-01-02,2025-03-28,Analytics,9141,9141,Active,Renewed,,
a00000000001782,001000000002748,2024-01-02,2025-03-04,Platform,10997,10997,Active,Renewed,,
a00000000001783,001000000003768,2024-01-02,2025-03-31,Automation,13032,13032,Active,Renewed,,
a00000000001784,001000000001643,2024-01-02,2025-01-02,Core,14553,17125,Active,Downgraded,,
a00000000001785,001000000000081,2024-01-02,2025-01-02,Core,26873,15535,Active,Renewed,,
a00000000001786,001000000001591,2024-01-02,2025-02-15,Analytics,21793,11344,Active,Renewed,,
a00000000001787,001000000001260,2024-01-02,2025-01-20,Analytics,6699,10619,Active,Downgraded,,
a00000000001788,001000000001273,2024-01-02,2025-03-05,Platform,16244,16244,Active,Renewed,,
a00000000001789,001000000002968,2024-01-02,2025-01-09,Platform,10052,10052,Active,Renewed,,
a00000000001790,001000000001893,2024-01-02,2025-03-11,Core,11243,11243,Active,Renewed,,
a00000000001791,001000000003938,2024-01-02,2025-02-07,Automation,14016,14016,Active,Renewed,,
a00000000001792,001000000004226,2024-01-02,2025-03-28,Platform,15269,15269,Active,Renewed,,
a00000000001793,001000000004967,2024-01-02,2025-03-10,Core,13723,13723,Active,Renewed,,
a00000000001794,001000000002928,2024-01-02,2025-02-27,Core,8304,8304,Active,Renewed,,
a00000000001795,001000000001400,2024-01-02,2025-03-07,Platform,11588,11588,Active,Renewed,,
a00000000001796,001000000000922,2024-01-02,2025-01-14,Automation,13685,13685,Active,Renewed,,
a00000000001797,001000000001538,2024-01-02,2025-03-26,Analytics,7816,9972,Active,Downgraded,,
a00000000001798,001000000000026,2024-01-02,2025-01-09,Automation,8281,8281,Active,Renewed,,
a00000000001799,001000000004437,2024-01-02,2025-03-15,Core,15579,11407,Active,Renewed,,
a00000000001800,001000000001390,2024-01-02,2025-03-21,Core,17168,17168,Active,Renewed,,
a00000000001801,001000000003556,2024-01-02,2025-02-19,Automation,13008,13008,Active,Renewed,,
a00000000001802,001000000001587,2024-01-02,2025-02-27,Automation,25714,14254,Active,Renewed,,
a00000000001803,001000000003840,2024-01-02,2025-01-08,Analytics,9199,9199,Active,Renewed,,
a00000000001804,001000000002045,2024-01-02,2025-01-21,Core,9277,9277,Active,Renewed,,
a00000000001805,001000000001771,2024-01-02,2025-03-22,Platform,17737,11815,Active,Renewed,,
a00000000001806,001000000000944,2024-01-02,2025-01-16,Platform,21033,10190,Active,Renewed,,
a00000000001807,001000000000101,2024-01-02,2025-02-21,Automation,27757,15103,Active,Renewed,,
a00000000001808,001000000001565,2024-01-02,2025-03-20,Platform,10408,10408,Active,Renewed,,
a00000000001809,001000000001452,2024-01-02,2025-01-20,Platform,8376,8376,Active,Renewed,,
a00000000001810,001000000000590,2024-01-02,2025-01-06,Automation,9532,9532,Active,Renewed,,
a00000000001811,001000000003549,2024-01-02,2025-03-23,Automation,25378,15910,Active,Renewed,,
a00000000001812,001000000002814,2024-01-02,2025-03-29,Automation,14187,8966,Active,Renewed,,
a00000000001813,001000000001858,2024-01-02,2025-02-02,Analytics,17360,8577,Active,Renewed,,
a00000000001814,001000000004413,2024-01-02,2025-03-16,Analytics,13510,13510,Active,Renewed,,
a00000000001815,001000000000066,2024-01-02,2025-03-11,Core,15335,15335,Active,Renewed,,
a00000000001816,001000000000351,2024-01-02,2025-03-15,Analytics,23488,15229,Active,Renewed,,
a00000000001817,001000000001794,2024-01-02,2025-01-29,Platform,17076,17076,Active,Renewed,,
a00000000001818,001000000000344,2024-01-02,2025-02-16,Automation,14010,14010,Active,Renewed,,
a00000000001819,001000000001985,2024-01-02,2025-02-16,Analytics,11467,11467,Active,Renewed,,
a00000000001820,001000000001966,2024-01-02,2025-03-31,Platform,10848,10848,Active,Renewed,,
a00000000001821,001000000001683,2024-01-02,2025-02-16,Platform,15118,16420,Active,Downgraded,,
a00000000001822,001000000003446,2024-01-02,2025-02-21,Automation,20829,10818,Active,Renewed,,
a00000000001823,001000000001833,2024-01-02,2025-01-20,Automation,16639,16639,Active,Renewed,,
a00000000001824,001000000004023,2024-01-02,2025-01-17,Platform,6066,9354,Active,Downgraded,,
a00000000001825,001000000001174,2024-01-02,2025-01-01,Automation,7830,7830,Active,Renewed,,
a00000000001826,001000000003374,2024-01-02,2025-01-21,Automation,22490,8851,Active,Renewed,,
a00000000001827,001000000000615,2024-01-02,2025-01-22,Core,13154,13154,Active,Renewed,,
a00000000001828,001000000002319,2024-01-02,2025-03-16,Core,12119,12119,Active,Renewed,,
a00000000001829,001000000004830,2024-01-02,2025-02-13,Core,8017,8017,Active,Renewed,,
a00000000001830,001000000000527,2024-01-02,2025-01-19,Core,19268,10899,Active,Renewed,,
a00000000001831,001000000000374,2024-01-02,2025-03-16,Core,20199,11962,Active,Renewed,,
a00000000001832,001000000002804,2024-01-02,2025-01-18,Platform,16399,16399,Active,Renewed,,
a00000000001833,001000000000981,2024-01-02,2025-02-18,Automation,15956,15956,Active,Renewed,,
a00000000001834,001000000000642,2024-01-02,2025-03-04,Analytics,10476,10476,Active,Renewed,,
a00000000001835,001000000002804,2024-01-02,2025-01-17,Automation,15008,15008,Active,Renewed,,
a00000000001836,001000000000700,2024-01-02,2025-03-26,Automation,20337,12314,Active,Renewed,,
a00000000001837,001000000001063,2024-01-02,2025-02-21,Platform,11030,11030,Active,Renewed,,
a00000000001838,001000000002387,2024-01-02,2025-01-21,Automation,13458,13458,Active,Renewed,,
a00000000001839,001000000002097,2024-01-02,2025-01-07,Analytics,8093,8093,Active,Renewed,,
a00000000001840,001000000004624,2024-01-02,2025-02-12,Automation,12667,12667,Active,Renewed,,
a00000000001841,001000000000682,2024-01-02,2025-01-03,Platform,14576,14576,Active,Renewed,,
a00000000001842,001000000000343,2024-01-02,2025-01-25,Platform,16121,16121,Active,Renewed,,
a00000000001843,001000000000782,2024-01-02,2025-02-23,Platform,13752,13752,Active,Renewed,,
a00000000001844,001000000004076,2024-01-02,2025-02-09,Analytics,13684,13684,Active,Renewed,,
a00000000001845,001000000004558,2024-01-02,2025-03-14,Platform,13192,14266,Active,Downgraded,,
a00000000001846,001000000001488,2024-01-02,2025-01-20,Automation,20435,9966,Active,Renewed,,
a00000000001847,001000000004935,2024-01-02,2025-02-07,Core,10975,12119,Active,Downgraded,,
a00000000001848,001000000004795,2024-01-02,2025-03-22,Analytics,17408,17408,Active,Renewed,,
a00000000001849,001000000001771,2024-01-02,2025-01-09,Automation,12839,12839,Active,Renewed,,
a00000000001850,001000000000919,2024-01-02,2025-01-10,Platform,15558,15558,Active,Renewed,,
a00000000001851,001000000000176,2024-01-02,2025-01-27,Analytics,16899,16899,Active,Renewed,,
a00000000001852,001000000000626,2024-01-02,2025-01-21,Core,12222,14223,Active,Downgraded,,
a00000000001853,001000000001014,2024-01-02,2025-01-28,Platform,12998,16585,Active,Downgraded,,
a00000000001854,001000000002270,2024-01-02,2025-03-30,Core,11772,11772,Active,Renewed,,
a00000000001855,001000000004991,2024-01-02,2025-01-21,Platform,8143,11535,Active,Downgraded,,
a00000000001856,001000000001715,2024-01-02,2025-02-08,Platform,8695,10323,Active,Downgraded,,
a00000000001857,001000000000530,2024-01-02,2025-02-18,Platform,13666,13666,Active,Renewed,,
a00000000001858,001000000002826,2024-01-02,2025-01-26,Automation,14431,14431,Active,Renewed,,
a00000000001859,001000000003230,2024-01-02,2025-02-03,Automation,20289,16332,Active,Renewed,,
a00000000001860,001000000003103,2024-01-02,2025-01-10,Core,16417,16417,Active,Renewed,,
a00000000001861,001000000000997,2024-01-02,2025-02-08,Platform,14992,14992,Active,Renewed,,
a00000000001862,001000000003197,2024-01-02,2025-01-31,Core,12603,12603,Active,Renewed,,
a00000000001863,001000000000005,2024-01-02,2025-01-16,Analytics,8909,8909,Active,Renewed,,
a00000000001864,001000000000182,2024-01-02,2025-02-12,Automation,16044,16044,Active,Renewed,,
a00000000001865,001000000000299,2024-01-02,2025-02-05,Automation,9799,9799,Active,Renewed,,
a00000000001866,001000000004354,2024-01-02,2025-01-24,Analytics,28693,13668,Active,Renewed,,
a00000000001867,001000000002790,2024-01-02,2025-02-01,Core,7875,7875,Active,Renewed,,
a00000000001868,001000000002742,2024-01-02,2025-02-14,Analytics,12907,14918,Active,Downgraded,,
a00000000001869,001000000003465,2024-01-02,2025-03-01,Analytics,11629,11629,Active,Renewed,,
a00000000001870,001000000003238,2024-01-02,2025-03-04,Automation,9021,9021,Active,Renewed,,
a00000000001871,001000000001373,2024-01-02,2025-03-16,Automation,16077,16077,Active,Renewed,,
a00000000001872,001000000001517,2024-01-02,2025-01-10,Platform,15611,15611,Active,Renewed,,
a00000000001873,001000000003296,2024-01-02,2025-01-06,Automation,14756,14756,Active,Renewed,,
a00000000001874,001000000003587,2024-01-02,2025-03-13,Platform,10817,10817,Active,Renewed,,
a00000000001875,001000000004234,2024-01-02,2025-03-25,Automation,13417,13417,Active,Renewed,,
a00000000001876,001000000000775,2024-01-02,2025-02-21,Analytics,8542,8542,Active,Renewed,,
a00000000001877,001000000003236,2024-01-02,2025-02-22,Automation,22792,15694,Active,Renewed,,
a00000000001878,001000000002567,2024-01-02,2025-03-25,Automation,8891,8891,Active,Renewed,,
a00000000001879,001000000000706,2024-01-02,2025-02-26,Platform,11125,11125,Active,Renewed,,
a00000000001880,001000000002870,2024-01-02,2025-02-03,Core,11010,11010,Active,Renewed,,
a00000000001881,001000000000716,2024-01-02,2025-03-15,Automation,14271,14271,Active,Renewed,,
a00000000001882,001000000004418,2024-01-02,2025-02-26,Platform,23097,15252,Active,Renewed,,
a00000000001883,001000000004179,2024-01-02,2025-01-01,Platform,8400,8400,Active,Renewed,,
a00000000001884,001000000000761,2024-01-02,2025-03-01,Core,15148,15148,Active,Renewed,,
a00000000001885,001000000002888,2024-01-02,2025-02-27,Platform,14373,14373,Active,Renewed,,
a00000000001886,001000000000392,2024-01-02,2025-03-08,Platform,13334,13334,Active,Renewed,,
a00000000001887,001000000003188,2024-01-02,2025-02-13,Automation,21450,15548,Active,Renewed,,
a00000000001888,001000000004282,2024-01-02,2025-01-21,Platform,7978,7978,Active,Renewed,,
a00000000001889,001000000002487,2024-01-02,2025-03-11,Platform,9999,9999,Active,Renewed,,
a00000000001890,001000000004989,2024-01-02,2025-02-20,Platform,12789,12789,Active,Renewed,,
a00000000001891,001000000001396,2024-01-02,2025-01-16,Analytics,16188,16188,Active,Renewed,,
